L1	L2	KO
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K03587
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00735
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K03663
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00744
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K13492
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K03692
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00753
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K13495
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K09480
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K13679
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00705
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K01196
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00706
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K05341
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00709
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00710
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K03278
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K04628
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K03715
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00689
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K03280
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00716
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K07633
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00717
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K12245
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00719
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00691
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00720
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K06617
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K14464
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K14596
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00688
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00726
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00727
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00728
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00729
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K07151
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00694
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K10999
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K05364
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K12555
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00695
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K03845
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K03847
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K10812
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00696
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K07432
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K07441
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00738
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00739
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00740
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00741
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00697
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00742
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K03429
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00724
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00698
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00699
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00748
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00749
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K11820
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K13748
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K08235
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K14504
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K13677
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00703
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K08236
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00752
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K05947
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00704
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K07966
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K07634
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K03279
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00722
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00743
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00721
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00733
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K08256
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K13068
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K05365
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K13692
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00731
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K03843
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00732
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K07967
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K05948
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K03842
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K05841
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K13263
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K10757
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00725
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K01663
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K02501
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K03813
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K03815
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K07557
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K11020
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K11023
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K11044
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K11385
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K11386
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K11387
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K11702
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K11714
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K13554
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K08238
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K13494
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00785
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K03369
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K03373
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K03375
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K03376
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K06612
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K06613
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K06616
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K02369
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K02370
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K02367
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K12248
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K07969
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K03714
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K06615
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00779
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K03691
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K02366
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K02368
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00747
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K13499
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K13500
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K02563
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K10231
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K13658
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K13657
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K07968
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00765
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K13497
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00770
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00771
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00772
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K06614
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K12247
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00778
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K03479
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K00780
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K03368
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K03494
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K02446
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase	K14501
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K00709
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K13648
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K06611
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K00718
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K14434
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K00693
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K00746
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K00700
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K00750
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K13269
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K00712
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K05342
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K00690
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K13499
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K03857
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K15533
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K03419
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K03928
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K05972
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K13333
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K08965
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K12312
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K08966
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K00702
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01192
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K07407
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01084
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01177
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01233
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01184
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01236
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K11331
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01186
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K12316
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01188
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K12111
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K09510
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01189
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K12505
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01237
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K12357
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K13671
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K12702
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K05349
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K07406
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K12308
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01205
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01219
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01224
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01204
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K12930
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K12939
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01208
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01215
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K09880
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K05988
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K12695
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01183
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K13381
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01185
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K13915
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K12317
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K05350
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01190
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K12309
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01191
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K12311
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01193
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01196
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01178
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K12047
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01195
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01197
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01198
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01199
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01179
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K05989
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01200
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01201
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01202
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01206
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01207
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K12373
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K14459
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01209
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01210
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K08254
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01180
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01212
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01213
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01214
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01216
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01217
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K05990
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01218
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01181
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K03332
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K05546
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01220
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01222
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01223
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01225
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01176
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K07405
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01182
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01203
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K08257
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K12693
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01228
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01229
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01230
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K05991
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01231
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K15538
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K13031
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K05992
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K13032
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K15924
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01232
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01234
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01235
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K15531
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K15855
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01439
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01458
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01721
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01838
09_Carbohydrate Active enzyme - CAZy	Glycoside hydrolase	K01840
09_Carbohydrate Active enzyme - CAZy	Polysaccharide lyase	K02554
09_Carbohydrate Active enzyme - CAZy	Polysaccharide lyase	K01687
09_Carbohydrate Active enzyme - CAZy	Polysaccharide lyase	K01727
09_Carbohydrate Active enzyme - CAZy	Polysaccharide lyase	K10677
09_Carbohydrate Active enzyme - CAZy	Polysaccharide lyase	K01728
09_Carbohydrate Active enzyme - CAZy	Polysaccharide lyase	K01052
09_Carbohydrate Active enzyme - CAZy	Polysaccharide lyase	K12298
09_Carbohydrate Active enzyme - CAZy	Polysaccharide lyase	K10759
09_Carbohydrate Active enzyme - CAZy	Polysaccharide lyase	K01046
09_Carbohydrate Active enzyme - CAZy	Polysaccharide lyase	K13534
09_Carbohydrate Active enzyme - CAZy	Polysaccharide lyase	K13616
09_Carbohydrate Active enzyme - CAZy	Polysaccharide lyase	K14073
09_Carbohydrate Active enzyme - CAZy	Polysaccharide lyase	K01732
09_Carbohydrate Active enzyme - CAZy	Polysaccharide lyase	K05359
09_Carbohydrate Active enzyme - CAZy	Carbohydrate esterase	K01036
09_Carbohydrate Active enzyme - CAZy	Carbohydrate esterase	K01051
09_Carbohydrate Active enzyme - CAZy	Carbohydrate esterase	K05968
09_Carbohydrate Active enzyme - CAZy	Carbohydrate esterase	K13278
09_Carbohydrate Active enzyme - CAZy	Carbohydrate esterase	K01049
09_Carbohydrate Active enzyme - CAZy	Carbohydrate esterase	K01044
09_Carbohydrate Active enzyme - CAZy	Carbohydrate esterase	K03927
09_Carbohydrate Active enzyme - CAZy	Carbohydrate esterase	K14452
09_Carbohydrate Active enzyme - CAZy	Carbohydrate esterase	K05972
09_Carbohydrate Active enzyme - CAZy	Carbohydrate esterase	K13333
09_Carbohydrate Active enzyme - CAZy	Carbohydrate esterase	K13334
09_Carbohydrate Active enzyme - CAZy	Carbohydrate esterase	K14621
